a	ə
recopilació	r ə . k u . p i . l ə . s i . ˈo
recopilar	r ə . k u . p i . l ˈa
record	r ə . k ˈɔ ɾ t
recorda	r ə . k ˈɔ ɾ . d ə
recordant	r ə . k u ɾ . d ˈa n 
recordar	r ə . k u ɾ . d ˈa
recordar-ho	r ə . k u ɾ . d ˈa ɾ u
recordat	r ə . k u ɾ . d ˈa t
recordatoris	r ə . k u ɾ . d ə . t ˈɔ . ɾ i s
recordava	r ə . k u ɾ . d ˈa . b ə
recordem	r ə . k u ɾ . d ˈɛ m
recorden	r ə . k ˈɔ ɾ . d ə n
recordes	r ə . k ˈɔ ɾ . d ə s
recordi	r ə . k ˈɔ ɾ . d i
recordo	r ə . k ˈɔ ɾ . d u
records	r ə . k ˈɔ ɾ s
recorre	r ə . k ˈo . r ə
recorregut	r ə . k u . r ə . ɣ ˈu t
recorren	r ə . k ˈo . r ə n
recorria	r ə . k u . r ˈi . ə
recrea	r ə . k ɾ ˈe . ə
recrear	r ə . k ɾ e . ˈa
recreatius	r ə . k ɾ e . ə . t ˈi w s
recrema	r ə . k ɾ ˈɛ . m ə
recta	r ˈɛ k . t ə
rectangle	r ə k . t ˈa n . g l ə
rectangles	r ə k . t ˈa n . g l ə s
rectangular	r ˈɛ k . t ə . ŋ u . l ˈa ɾ
recte	r ˈɛ k . t ə
rectes	r ˈɛ k . t ə s
rector	r ə k . t ˈo
recular	r ə . k u . l ˈa
recull	r ə . k ˈu ʎ
recuperació	r ə . k u . p ə . ɾ ə . s i . ˈo
recuperada	r ə . k u . p ə . ɾ ˈa . ð ə
recuperant	r ə . k u . p ə . ɾ ˈa n 
recuperar	r ə . k u . p ə . ɾ ˈa
recuperat	r ə . k u . p ə . ɾ ˈa t
recurrent	r ə . k u . r ˈe n 
recursos	r ə . k ˈu ɾ . s u s
redacció	r ə . ð ə k . s i . ˈo
redactar	r ə . ð ə k . t ˈa
redactat	r ə . ð ə k . t ˈa t
redactava	r ə . ð ə k . t ˈa . b ə
redefinia	r ə . ð ə . f i . n ˈi . ə
redemptora	r ə . ð ə m p . t ˈo . ɾ ə
redimensioni	r ə . ð i . m ə n . s i . ˈo . n i
redireccionar	r ə . ð i . ɾ ə k . s i . u . n ˈa
redireccions	r ə . ð i . ɾ ə k . s i . ˈo n s
reduïda	r ə . ð u . ˈi . ð ə
reduïdes	r ə . ð u . ˈi . ð ə s
reduït	r ə . ð u . ˈi t
reduïu	r ə . ð u . ˈi w
reducció	r ə . ð u k . s i . ˈo
redueix	r ə . ð u . ˈɛ ʃ
redueixen	r ə . ð u . ˈɛ ʃ ə n
reduir	r ə . ð u . ˈi
reemborsarà	r ə . ə m . b u ɾ . s ə . ɾ ˈa
reemissió	r ə . ə . m i . s i . ˈo
reemplaçar-la	r ə . ə m . p l ə . s ˈa ɾ l ə
reencarnació	r ə . ə n . k ə ɾ . n ə . s i . ˈo
reenviar	r ə . ə m . b i . ˈa
reescrit	r ə . ə s . k ɾ ˈi t
reexaminar	r ə . ə k . s ə . m i . n ˈa
referència	r ə . f ə . ɾ ˈɛ n . s i . ə
refereix	r ə . f ə . ɾ ˈɛ ʃ
refereixen	r ə . f ə . ɾ ˈɛ ʃ ə n
referent	r ə . f ə . ɾ ˈe n 
referents	r ə . f ə . ɾ ˈe n s
referir-vos	r ə . f ə . ɾ ˈi ɾ b u s
referit	r ə . f ə . ɾ ˈi t
reflecteix	r ə . f l ə k . t ˈɛ ʃ
reflecteixen	r ə . f l ə k . t ˈɛ ʃ ə n
reflectia	r ə . f l ə k . t ˈi . ə
reflex	r ə . f l ˈɛ k s
reflexió	r ə . f l ə k . s i . ˈo
reflexionar	r ə . f l ə k . s i . u . n ˈa
reflexions	r ə . f l ə k . s i . ˈo n s
reflexoteràpia	r ə . f l ə k . s u . t ə . ɾ ˈa . p i . ə
reforçar	r ə . f u ɾ . s ˈa
reforçaran	r ə . f u ɾ . s ə . ɾ ˈa n
reforma	r ə . f ˈo ɾ . m ə
reformes	r ə . f ˈo ɾ . m ə s
refot	r ə . f ˈɔ t
refotut	r ə . f u . t ˈu t
refreda	r ə . f ɾ ˈe . d ə
refredament	r ə . f ɾ ə . d ə . m ˈe n
refredar	r ə . f ɾ ə . ð ˈa
refredat	r ə . f ɾ ə . ð ˈa t
refrescant	r ə . f ɾ ə s . k ˈa n 
refrescants	r ə . f ɾ ə s . k ˈa n s
refrescar	r ə . f ɾ ə s . k ˈa
refresco	r ə . f ɾ ˈɛ s . k u
refrigeració	r ə . f ɾ i . ʒ ə . ɾ ə . s i . ˈo
refugi	r ə . f ˈu . ʒ i
refugiar-se	r ə . f u . ʒ i . ˈa ɾ s ə
refugiats	r ə . f u . ʒ i . ˈa t s
regadora	r ə . ɣ ə . d ˈo . ɾ ə
regal	r ə . ɣ ˈa l
regala	r ə . ɣ ˈa . l ə
regalar	r ə . ɣ ə . l ˈa
regalarà	r ə . ɣ ə . l ə . ɾ ˈa
regalar-les	r ə . ɣ ə . l ˈa ɾ l ə s
regalar-me	r ə . ɣ ə . l ˈa ɾ m ə
regalés	r ə . ɣ ə . l ˈe s
regalat	r ə . ɣ ə . l ˈa t
regalava	r ə . ɣ ə . l ˈa . b ə
regalet	r ə . ɣ ə . l ˈɛ t
regalimar	r ə . ɣ ə . l i . m ˈa
regalimaven	r ə . ɣ ə . l i . m ˈa . b ə n
regals	r ə . ɣ ˈa l s
regatejar	r ə . ɣ ə . t ə . ʒ ˈa
regaven	r ə . ɣ ˈa . b ə n
regeix	r ə . ʒ ˈɛ ʃ
regió	r ə . ʒ i . ˈo
regidor	r ə . ʒ i . d ˈo
regidors	r ə . ʒ i . d ˈo s
regional	r ə . ʒ i . u . n ˈa l
regionals	r ə . ʒ i . u . n ˈa l s
regions	r ə . ʒ i . ˈo n s
regira	r ə . ʒ ˈi . ɾ ə
regirar	r ə . ʒ i . ɾ ˈa
registrar	r ə . ʒ i s . t ɾ ˈa
registrar-se	r ə . ʒ i s . t ɾ ˈa ɾ s ə
registrar-te	r ə . ʒ i s . t ɾ ˈa ɾ t ə
registrat	r ə . ʒ i s . t ɾ ˈa t
registre	r ə . ʒ ˈi s . t ɾ ə
registres	r ə . ʒ ˈi s . t ɾ ə s
regla	r ˈɛ . g l ə
reglament	r ə . g l ə . m ˈe n
regles	r ˈɛ . g l ə s
regnat	r ə g . n ˈa t
regne	r ˈe g . n ə
reguerol	r ə . g ə . ɾ ˈɔ l
reguitzell	r ə . g i d . z ˈe ʎ
regula	r ə . ɣ ˈu . l ə
regulació	r ə . ɣ u . l ə . s i . ˈo
reguladora	r ə . ɣ u . l ə . d ˈo . ɾ ə
regular	r ə . g u . l ˈa ɾ
regularitat	r ə . ɣ u . l ə . ɾ i . t ˈa t
regularitzar	r ə . ɣ u . l ə . ɾ i d . z ˈa
regulats	r ə . ɣ u . l ˈa t s
regulen	r ə . ɣ ˈu . l ə n
reguli	r ə . ɣ ˈu . l i
regust	r ə . ɣ ˈu s t
rehabilitació	r ə ə . β i . l i . t ə . s i . ˈo
rei	r ˈe j
reia	r ˈɛ . j ə
reial	r ə . j ˈa l
reialme	r ə . j ˈa l . m ə
reials	r ə . j ˈa l s
reietó	r ə . j ə . t ˈo
reina	r ˈe j . n ə
reines	r ˈɛ j . n ə s
reinetes	r ə j . n ˈɛ . t ə s
reinicia	r ə j . n i . s ˈi . ə
reiniciarà	r ə j . n i . s i . ə . ɾ ˈa
reintegrament	r ə j n . t ə . g ɾ ə . m ˈe n
reintenta	r ə j n . t ˈe n . t ə
reis	r ˈe j s
reiterada	r ə j . t ə . ɾ ˈa . ð ə
reivindicacions	r ə j . β i n . d i . k ə . s i . ˈo n s
reixac	r ə ʃ ˈa k
relació	r ə . l ə . s i . ˈo
relacionada	r ə . l ə . s i . u . n ˈa . ð ə
relacionades	r ə . l ə . s i . u . n ˈa . ð ə s
relacionar	r ə . l ə . s i . u . n ˈa
relacionar-les	r ə . l ə . s i . u . n ˈa ɾ l ə s
relacionats	r ə . l ə . s i . u . n ˈa t s
relacioni	r ə . l ə . s i . ˈo . n i
relacions	r ə . l ə . s i . ˈo n s
relat	r ə . l ˈa t
relaten	r ə . l ˈa . t ə n
relatius	r ə . l ə . t ˈi w s
relativa	r ə . l ə . t ˈi . β ə
relaxada	r ə . l ə k . s ˈa . ð ə
relaxats	r ə . l ə k . s ˈa t s
religió	r ə . l i . ʒ i . ˈo
religiós	r ə . l i . ʒ i . ˈo s
religions	r ə . l i . ʒ i . ˈo n s
religioses	r ə . l i . ʒ i . ˈo . z ə s
rellegeixes	r ə . ʎ ə . ʒ ˈɛ ʃ ə s
rellegir	r ə . ʎ ə . ʒ ˈi
relleus	r ə . ʎ ˈe w s
rellevant	r ə . ʎ ə . b ˈa n 
rellisca	r ə . ʎ ˈi s . k ə
rellotge	r ə . ʎ ˈɔ d . ʒ ə
rellotge.	r ə . ʎ ˈɔ d . ʒ ə_.
rellotge.	r ə . ʎ ˈɔ d . ʒ ə_
remanada	r ə . m ə . n ˈa . ð ə
remarcables	r ə . m ə ɾ . k ˈa . β l ə s
remei	r ə . m ˈɛ j
rememora	r ə . m ə . m ˈo . ɾ ə
remena	r ə . m ˈɛ . n ə
remenar-les	r ə . m ə . n ˈa ɾ l ə s
remenes	r ə . m ˈɛ . n ə s
remeno	r ə . m ˈɛ . n u
remescles	r ə . m ˈɛ s . k l ə s
remetrem	r ə . m ə . t ɾ ˈɛ m
remitent	r ə . m i . t ˈe n 
remolí	r ə . m u . l ˈi
remolc	r ə . m ˈɔ l . s ə_
remolc	r ə . m ˈɔ l . s ə_
remor	r ə . m ˈo ɾ
remordiments	r ə . m u ɾ . d i . m ˈe n s
remot	r ə . m ˈɔ t
remouria	r ə . m ɔ w . ɾ ˈi . ə
removent-se	r ə . m u . b ˈe n s ə
remugant	r ə . m u . ɣ ˈa n 
remuntar	r ə . m u n . t ˈa
renaixement	r ə . n ə . ʃ ə . m ˈe n
renaixença	r ə . n ə ʃ ˈɛ n . s ə
renaixentistes	r ə . n ə ʃ ə n . t ˈi s . t ə s
renascut	r ə . n ə s . k ˈu t
renault	r ə . n ə w l . t ˈe_
renault	r ə . n ə w l . t ˈe_
rencontre	r ə n . k ˈo n . t ɾ ə
renda	r ˈɛ n . d ə
rendeix	r ə n . d ˈɛ ʃ
rendia	r ə n . d ˈi . ə
rendiment	r ə n . d i . m ˈe n
renecs	r ə . n ˈɛ k s
renegrida	r ə . n ə . ɣ ɾ ˈi . ð ə
renfe	r ˈe n . f e
renovables	r ə . n u . b ˈa . β l ə s
renovació	r ə . n u . β ə . s i . ˈo
renovar	r ə . n u . b ˈa
renovat	r ə . n u . b ˈa t
renoven	r ə . n ˈɔ . b ə n
renta	r ˈe n . t ə
rentador	r ə n . t ə . d ˈo
rentadora	r ə n . t ə . d ˈo . ɾ ə
rentant	r ə n . t ˈa n 
rentar	r ə n . t ˈa
rentar-se	r ə n . t ˈa ɾ s ə
rentat	r ə n . t ˈa t
rentatge	r ə n . t ˈa d . ʒ ə
rentats	r ə n . t ˈa t s
rentà	r ə n . t ˈa
rentessin	r ə n . t ˈe . s i n
renunciar	r ə . n u n . s i . ˈa
renunciaria	r ə . n u n . s i . ə . ɾ ˈi . ə
reordenar	r ə . u ɾ . d ə . n ˈa
rep	r ˈe p
reparacions	r ə . p ə . ɾ ə . s i . ˈo n s
reparteix	r ə . p ə ɾ . t ˈɛ ʃ
reparteixin	r ə . p ə ɾ . t ˈɛ ʃ i n
repartiment	r ə . p ə ɾ . t i . m ˈe n
repassa	r ə . p ˈa . s ə
repassant	r ə . p ə . s ˈa n 
repassar	r ə . p ə . s ˈa
repassava	r ə . p ə . s ˈa . b ə
repassen	r ə . p ˈa . s ə n
repàs	r ə . p ˈa s
repensar-nos-ho	r ə . p ə n . s ˈa ɾ n u z u
repercussió	r ə . p ə ɾ . k u . s i . ˈo
repetí	r ə . p ə . t ˈi
repeteix	r ə . p ə . t ˈɛ ʃ
repeteixen	r ə . p ə . t ˈɛ ʃ ə n
repeteixi	r ə . p ə . t ˈɛ ʃ i
repeteixo	r ə . p ə . t ˈɛ ʃ u
repetia	r ə . p ə . t ˈi . ə
repetició	r ə . p ə . t i . s i . ˈo
repetien	r ə . p ə . t ˈi . ə n
repetim	r ə . p ə . t ˈi m
repetint	r ə . p ə . t ˈi n 
repetir	r ə . p ə . t ˈi
repetirà	r ə . p ə . t i . ɾ ˈa
repetir-ho	r ə . p ə . t ˈi ɾ u
repetit	r ə . p ə . t ˈi t
repica	r ə . p ˈi . k ə
repicar	r ə . p i . k ˈa
repiquen	r ə . p ˈi . k ə n
replegada	r ə . p l ə . ɣ ˈa . ð ə
repliquem	r ə . p l i k ˈɛ m
reportatge	r ə . p u ɾ . t ˈa d . ʒ ə
reposar	r ə . p u . z ˈa
repostar	r ə . p u s . t ˈa
reprèn	r ə . p ɾ ˈɛ n
repreníem	r ə . p ɾ ə . n ˈi . ə m
reprendre	r ə . p ɾ ˈɛ n . d ɾ ə
representa	r ə . p ɾ ə . z ˈe n . t ə
representació	r ə . p ɾ ə . z ə n . t ə . s i . ˈo
representant	r ə . p ɾ ə . z ə n . t ˈa n 
representants	r ə . p ɾ ə . z ə n . t ˈa n s
representar	r ə . p ɾ ə . z ə n . t ˈa
representaria	r ə . p ɾ ə . z ə n . t ə . ɾ ˈi . ə
representar-se	r ə . p ɾ ə . z ə n . t ˈa ɾ s ə
representatiu	r ə . p ɾ ə . z ə n . t ə . t ˈi w
representatius	r ə . p ɾ ə . z ə n . t ə . t ˈi w s
representava	r ə . p ɾ ə . z ə n . t ˈa . b ə
representen	r ə . p ɾ ə . z ˈe n . t ə n
reprimia	r ə . p ɾ i . m ˈi . ə
reprimir	r ə . p ɾ i . m ˈi
reprimiu	r ə . p ɾ i . m ˈi w
reproducció	r ə . p ɾ u . ð u k . s i . ˈo
reproductor	r ə . p ɾ u . ð u k . t ˈo
reprodueix	r ə . p ɾ u . ð u . ˈɛ ʃ
reprodueixi	r ə . p ɾ u . ð u . ˈɛ ʃ i
reproduint-la	r ə . p ɾ u . ð u . ˈi n l ə
reproduir	r ə . p ɾ u . ð u . ˈi
repte	r ˈe p . t ə
reptes	r ˈe p . t ə s
repugnant	r ə . p u g . n ˈa n 
repulsió	r ə . p u l . s i . ˈo
repuntejat	r ə . p u n . t ə . ʒ ˈa t
requadre	r ə . k w ˈa . ð ɾ ə
requereix	r ə . k ə . ɾ ˈɛ ʃ
requereixen	r ə . k ə . ɾ ˈɛ ʃ ə n
requerir	r ə . k ə . ɾ ˈi
rera	r ˈe . ɾ ə
rere	r ˈe . ɾ ə
rerefons	r ˌe . ɾ ə . f ˈo n s
res	r ˈɛ s
resant	r ə . z ˈa n 
resava	r ə . z ˈa . b ə
resen	r ˈe . z ə n
reserva	r ə . z ˈe ɾ . b ə
reservar	r ə . z ə ɾ . b ˈa
reservats	r ə . z ə ɾ . b ˈa t s
reserven	r ə . z ˈe ɾ . b ə n
reserves	r ə . z ˈe ɾ . b ə s
reservo	r ə . z ˈe ɾ . b u
residència	r ə . z i . ð ˈɛ n . s i . ə
residències	r ə . z i . ð ˈɛ n . s i . ə s
resident	r ə . z i . d ˈe n 
residus	r ə . z ˈi . ð u s
resignadament	r ə . z i g . n ˈa . ð ə . m ˈe n 
resignat	r ə . z i g . n ˈa t
resigno	r ə . z ˈi g . n u
resistència	r ə . z i s . t ˈɛ n . s i . ə
resistències	r ə . z i s . t ˈɛ n . s i . ə s
resisteix	r ə . z i s . t ˈɛ ʃ
resisteixin	r ə . z i s . t ˈɛ ʃ i n
resistia	r ə . z i s . t ˈi . ə
resistint	r ə . z i s . t ˈi n 
resistir	r ə . z i s . t ˈi
resistirà	r ə . z i s . t i . ɾ ˈa
resistir-ho	r ə . z i s . t ˈi ɾ u
resistir-se	r ə . z i s . t ˈi ɾ s ə
resistit	r ə . z i s . t ˈi t
resol	r ə . z ˈɔ l
resoldre	r ə . z ˈɔ l . d ɾ ə
resoldre'ls	r ə . z ˈɔ l . d ɾ ə l s
resolem	r ə . z u . l ˈɛ m
resolgui	r ə . z ˈɔ l . g i
resolt	r ə . z ˈɔ l 
resolució	r ə . z u . l u . s i . ˈo
respatller	r ə s . p ə t . ʎ ˈe
respatllers	r ə s . p ə t . ʎ ˈe s
respectables	r ə s . p ə k . t ˈa . β l ə s
respectar	r ə s . p ə k . t ˈa
respecte	r ə s . p ˈe k . t ə
respectessin	r ə s . p ə k . t ˈe . s i n
respectius	r ə s . p ə k . t ˈi w s
respectivament	r ə s . p ə k . t ˈi . β ə . m ˈe n 
respectives	r ə s . p ə k . t ˈi . β ə s
respecto	r ə s . p ˈe k . t u
respectuosament	r ə s . p ə k . t u . ˈo . z ə . m ˈe n 
respira	r ə s . p ˈi . ɾ ə
respiració	r ə s . p i . ɾ ə . s i . ˈo
respirar	r ə s . p i . ɾ ˈa
respirava	r ə s . p i . ɾ ˈa . b ə
respiren	r ə s . p ˈi . ɾ ə n
respiro	r ə s . p ˈi . ɾ u
resplendent	r ə s . p l ə n . d ˈe n 
respon	r ə s . p ˈɔ n
responíeu	r ə s . p u . n ˈi . ə w
responc	r ə s . p ˈɔ n k
respondre	r ə s . p ˈɔ n . d ɾ ə
responeu	r ə s . p u . n ˈɛ w
respongui	r ə s . p ˈɔ n . g i
responieu	r ə s . p u . n i . ˈɛ w
responsabilitats	r ə s . p u n . s ə . β i . l i . t ˈa t s
responsabilitzaran	r ə s . p u n . s ə . β i . l i d . z ə . ɾ ˈa n
responsable	r ə s . p u n . s ˈa . β l ə
responsables	r ə s . p u n . s ˈa . β l ə s
resposta	r ə s . p ˈɔ s . t ə
respostes	r ə s . p ˈɔ s . t ə s
ressò	r ə . s ˈɔ
ressaca	r ə . s ˈa . k ə
ressegueix	r ə . s ə . g ˈɛ ʃ
ressegueixen	r ə . s ə . g ˈɛ ʃ ə n
resseguim	r ə . s ə . g ˈi m
resseguint	r ə . s ə . g ˈi n 
resseguir	r ə . s ə . g ˈi
ressentiment	r ə . s ə n . t i . m ˈe n
ressentir	r ə . s ə n . t ˈi
ressona	r ə . s ˈo . n ə
ressort	r ə . s ˈɔ ɾ t
resta	r ˈe s . t ə
restallera	r ə s . t ə . ʎ ˈe . ɾ ə
restar	r ə s . t ˈa
restauració	r ə s . t ə w . ɾ ə . s i . ˈo
restaurant	r ə s . t ə w . ɾ ˈa n 
restaurants	r ə s . t ə w . ɾ ˈa n s
restava	r ə s . t ˈa . b ə
restaven	r ə s . t ˈa . b ə n
resten	r ˈe s . t ə n
restes	r ˈe s . t ə s
restriccions	r ə s . t ɾ i k . s i . ˈo n s
resulta	r ə . z ˈu l . t ə
resultar	r ə . z u l . t ˈa
resultarà	r ə . z u l . t ə . ɾ ˈa
resultarien	r ə . z u l . t ə . ɾ ˈi . ə n
resultat	r ə . z u l . t ˈa t
resultats	r ə . z u l . t ˈa t s
resultava	r ə . z u l . t ˈa . b ə
resulten	r ə . z ˈu l . t ə n
resum	r ə . z ˈu m
resumida	r ə . z u . m ˈi . ð ə
retòrics	r ə . t ˈɔ . ɾ i k s
retòriques	r ə . t ˈɔ . ɾ i . k ə s
retallada	r ə . t ə . ʎ ˈa . ð ə
retallareu	r ə . t ə . ʎ ə . ɾ ˈɛ w
retalls	r ə . t ˈa ʎ s
retard	r ə . t ˈa ɾ t
retaule	r ə . t ˈa w . l ə
retenir	r ə . t ə . n ˈi
retina	r ə . t ˈi . n ə
retirar	r ə . t i . ɾ ˈa
retirarà	r ə . t i . ɾ ə . ɾ ˈa
retirat	r ə . t i . ɾ ˈa t
retorn	r ə . t ˈo ɾ n
retorna	r ə . t ˈo ɾ . n ə
retornant	r ə . t u ɾ . n ˈa n 
retornaran	r ə . t u ɾ . n ə . ɾ ˈa n
retorni	r ə . t ˈo ɾ . n i
retratistes	r ə . t ɾ ə . t ˈi s . t ə s
retrau	r ə . t ɾ ˈa w
retrauria	r ə . t ɾ ə w . ɾ ˈi . ə
retrec	r ə . t ɾ ˈɛ k
retrets	r ə . t ɾ ˈe t s
retrobar-nos	r ə . t ɾ u . β ˈa ɾ n u s
retrobo	r ə . t ɾ ˈo . b u
retrocedir	r ə . t ɾ u . s ə . ð ˈi
retrovisors	r ə . t ɾ u . β i . z ˈo s
reuneixes	r ə w . n ˈɛ ʃ ə s
reunia	r ə w . n ˈi . ə
reunió	r ə w . n i . ˈo
reunien	r ə w . n ˈi . ə n
reunions	r ə w . n i . ˈo n s
reunir	r ə w . n ˈi
reuniran	r ə w . n i . ɾ ˈa n
reus	r ˈɛ w s
revés	r ə . β ˈe s
revela	r ə . b ˈɛ . l ə
revelés	r ə . β ə . l ˈe s
revelat	r ə . β ə . l ˈa t
reverència	r ə . β ə . ɾ ˈɛ n . s i . ə
revers	r ə . b ˈɛ ɾ s
revetlla	r ə . b ˈɛ t . ʎ ə
revinclades	r ə . β i n . k l ˈa . ð ə s
revisada	r ə . β i . z ˈa . ð ə
revisar	r ə . β i . z ˈa
reviseu	r ə . β i . z ˈɛ w
revisor	r ə . β i . z ˈo
revista	r ə . β ˈi s . t ə
revistes	r ə . β ˈi s . t ə s
reviure	r ə . β ˈi w . ɾ ə
revolada	r ə . β u . l ˈa . ð ə
revolt	r ə . b ˈɔ l 
revolució	r ə . β u . l u . s i . ˈo
reykiavik	r ə . i . k i . ə . β ˈi k
riad	r i . ˈa t
rialla	r i . ˈa . ʎ ə
riallera	r i . ə . ʎ ˈe . ɾ ə
rialles	r i . ˈa . ʎ ə s
ribagorça	r i . β ə . g ˈɔ ɾ . s ə
ribera	r i . b ˈe . ɾ ə
ribes	r ˈi . β ə s
rica	r ˈi . k ə
ricard	r i . k ˈa ɾ t
rics	r ˈi k s
ridícul	r i . ð ˈi . k u l
ridícula	r i . ð ˈi . k u . l ə
ridícules	r i . ð ˈi . k u . l ə s
ridículs	r i . ð ˈi . k u l s
riem	r i . ˈɛ m
rient	r i . ˈe n 
riera	r i . ˈe . ɾ ə
rierols	r i . ə . ɾ ˈɔ l s
riga	r ˈi . ɣ ə
rigor	r i . g ˈo ɾ
rigorosament	r i . ɣ u . ɾ ˈɔ . z ə . m ˈe n 
riitta	r ˈi j . t ə
rioja	r i . ˈɔ . ʒ ə
ripoll	r i . p ˈo ʎ
ripollès	r i . p u . ʎ ˈɛ s
ripollet	r i . p u . ʎ ˈɛ t
riquesa	r i k ˈɛ . z ə
riqueses	r i k ˈɛ . z ə s
risc	r ˈi s k
riscos	r ˈi s . k u s
rissos	r ˈi . s u s
ritme	r ˈi d . m ə
ritmes	r ˈi d . m ə s
ritual	r i . t u . ˈa l
ritus	r ˈi . t u s
riu	r ˈi w
riuada	r i . w ˈa . ð ə
riuen	r ˈi . w ə n
riure	r ˈi w . ɾ ə
rius	r ˈi w s
rivals	r i . b ˈa l s
roba	r ˈɔ . b ə
robòtica	r u . β ˈɔ . t i . k ə
robar	r u . β ˈa
robar-li	r u . β ˈa ɾ l i
robat	r u . β ˈa t
robatori	r u . β ə . t ˈɔ . ɾ i
robatoris	r u . β ə . t ˈɔ . ɾ i s
robava	r u . β ˈa . b ə
robe	r ˈɔ . b ə
roben	r ˈɔ . b ə n
robert	r u . b ˈɛ ɾ t
robots	r u . b ˈɔ t s
roc	r ˈɔ k
roca	r ˈɔ . k ə
rocafort	r u . k ə . f ˈɔ ɾ t
rocam	r u . k ˈa m
rock	r ˈɔ k
roda	r ˈɔ . d ə
rodó	r u . ð ˈo
rodalies	r u . ð ə . l ˈi . ə s
rodanxes	r u . ð ˈa n . ʃ ə s
rodés	r u . ð ˈe s
rodat	r u . ð ˈa t
rodeja	r u . d ˈɛ . ʒ ə
rodejada	r u . ð ə . ʒ ˈa . ð ə
rodejades	r u . ð ə . ʒ ˈa . ð ə s
rodejant-ne	r u . ð ə . ʒ ˈa n n ə
rodejat	r u . ð ə . ʒ ˈa t
rodejats	r u . ð ə . ʒ ˈa t s
rodes	r ˈɔ . d ə s
rodolant	r u . ð u . l ˈa n 
rodolen	r u . d ˈɔ . l ə n
rodona	r u . d ˈo . n ə
rodons	r u . d ˈo n s
rogenques	r u . ʒ ˈɛ n . k ə s
roger	r u . ʒ ˈe
roja	r ˈɔ . ʒ ə
rol	r ˈɔ l
rols	r ˈɔ l s
rom	r ˈo m
roma	r ˈo . m ə
romana	r u . m ˈa . n ə
romaní	r u . m ə . n ˈi
romandre	r u . m ˈa n . d ɾ ə
romangui	r u . m ˈa n . g i
romania	r u . m ə . n ˈi . ə
romans	r u . m ˈa n s
romanticisme	r u . m ə n . t i . s ˈi s . m ə
romà	r u . m ˈa
romàntic	r u . m ˈa n . t i k
romàntica	r u . m ˈa n . t i . k ə
romàntiques	r u . m ˈa n . t i . k ə s
ronca	r ˈo n . k ə
ronda	r ˈo n . d ə
rondalla	r u n . d ˈa . ʎ ə
rondant	r u n . d ˈa n 
rondava	r u n . d ˈa . b ə
ronden	r ˈo n . d ə n
ronqui	r ˈo n . k i
ronyó	r u . ɲ ˈo
ronyós	r u . ɲ ˈo s
ronyons	r u . ɲ ˈo n s
roques	r ˈɔ . k ə s
ros	r ˈɔ s
rosa	r ˈɔ . z ə
rosada	r u . z ˈa . ð ə
rosades	r u . z ˈa . ð ə s
rosalia	r u . z ə . l ˈi . ə
rosana	r u . z ˈa . n ə
roser	r u . z ˈe
roses	r ˈɔ . z ə s
rossa	r ˈɔ . s ə
rossellonesa	r u . s ə . ʎ u . n ˈɛ . z ə
rosses	r ˈɔ . s ə s
rossinyols	r u . s i . ɲ ˈɔ l s
rostolls	r u s . t ˈɔ ʎ s
rostre	r ˈɔ s . t ɾ ə
rostres	r ˈɔ s . t ɾ ə s
rotació	r u . t ə . s i . ˈo
rotllana	r u t . ʎ ˈa . n ə
rotllo	r ˈɔ t . ʎ u
rotllos	r ˈɔ t . ʎ u s
rotonda	r u . t ˈo n . d ə
roures	r ˈo . u . ɾ ə s
rovellat	r u . β ə . ʎ ˈa t
rovellons	r u . β ə . ʎ ˈo n s
rovira	r u . β ˈi . ɾ ə
ruïnós	r u . ˈi . n ˈo s
ruïnes	r u . ˈi . n ə s
rubí	r u . β ˈi
rubles	r ˈu . β l ə s
ruc	r ˈu k
rugós	r u . ɣ ˈo s
rugbi	r ˈu g . b i
rugosa	r u . g ˈo . z ə
rugositat	r u . ɣ u . z i . t ˈa t
ruixar	r u j . ʃ ˈa
ruixats	r u j . ʃ ˈa t s
ruleta	r u . l ˈɛ . t ə
rumiador	r u . m i . ə . d ˈo
rumor	r u . m ˈo ɾ
runa	r ˈu . n ə
runes	r ˈu . n ə s
rupies	r u . p ˈi . ə s
ruptura	r u p . t ˈu . ɾ ə
rus	r ˈu s
russa	r ˈu . s ə
russes	r ˈu . s ə s
russos	r ˈu . s u s
ruta	r ˈu . t ə
rutes	r ˈu . t ə s
ruth	r ˈu t
ruti	r ˈu . t i
rutina	r u . t ˈi . n ə
rutinari	r u . t i . n ˈa . ɾ i
rutllar	r u t . ʎ ˈa
sí	s ˈi
sé	s ˈe
sòl	s ˈɔ l
sòlida	s ˈɔ . l i . ð ə
sòlids	s ˈɔ . l i t s
sòria	s ˈɔ . ɾ i . ə
sóc	s ˈo k
són	s ˈo n
sabó	s ə . β ˈo
sabadell	s ə . β ə . d ˈe ʎ
sabíem	s ə . β ˈi . ə m
sabés	s ə . β ˈe s
sabata	s ə . β ˈa . t ə
sabater	s ə . β ə . t ˈe
sabates	s ə . β ˈa . t ə s
sabatilles	s ə . β ə . t ˈi . ʎ ə s
sabem	s ə . b ˈɛ m
saben	s ˈa . β ə n
sabent	s ə . b ˈe n 
saber	s ə . b ˈɛ
sabeu	s ə . b ˈɛ w
sabia	s ə . β ˈi . ə
sabien	s ə . β ˈi . ə n
sabies	s ə . β ˈi . ə s
